No,연번,역명,호선,구,동,상세주소,,경도,위도,상태
218,218,공릉(서울과학기술대),7,노원구,공릉동,서울특별시 노원구 공릉동 385-4 공릉역,6311-7160,127.072722,37.62575357,정좌표
219,219,태릉입구,7,노원구,공릉동,"서울특별시 노원구 공릉동 616-4 태릉입구역(6, 7호선)",6311-7170,127.0751094,37.61913369,정좌표
220,220,먹골,7,중랑구,묵동,서울특별시 중랑구 묵동 189-5 먹골역,6311-7180,127.0776915,37.61085471,정좌표
221,221,중화,7,중랑구,중화동,서울특별시 중랑구 중화동 50-3 중화역,6311-7190,127.0790299,37.60170345,정좌표
222,222,상봉(시외버스터미널),7,중랑구,상봉동,서울특별시 중랑구 상봉동 160-7 상봉역,6311-7200,127.0845158,37.59598808,정좌표
223,223,면목,7,중랑구,면목동,서울특별시 중랑구 면목동 282-6 면목역,6311-7210,127.0873291,37.58920866,정좌표
224,224,사가정,7,중랑구,면목동,서울특별시 중랑구 면목동 495 사가정역,6311-7220,127.088104,37.58255921,정좌표
225,225,용마산,7,중랑구,면목동,서울특별시 중랑구 면목동 1382-13 용마산역,6311-7230,127.0864815,37.57342132,정좌표
226,226,중곡,7,광진구,중곡동,서울특별시 광진구 중곡동 273-2 중곡역,6311-7240,127.0842245,37.56582238,인근좌표
227,227,군자(능동),7,광진구,능동,"서울특별시 광진구 능동 275-5 군자역(5, 7호선)",6311-5440,127.0805089,37.55671998,정좌표
228,228,어린이대공원(세종대),7,광진구,화양동,서울특별시 광진구 화양동 164-1 어린이대공원역,6311-7260,127.0739375,37.54712449,정좌표
229,229,건대입구,7,광진구,화양동,서울특별시 광진구 화양동 6-3 건대입구역(7호선),6311-7270,127.0705581,37.54049807,정좌표
230,230,뚝섬유원지,7,광진구,자양동,서울특별시 광진구 자양동 73-2 뚝섬유원지역,6311-7280,127.0669855,37.53194529,정좌표
231,231,청담,7,강남구,청담동,서울특별시 강남구 청담동 77-76 청담역,6311-7290,127.0491838,37.51871194,정좌표
232,232,강남구청,7,강남구,삼성동,서울특별시 강남구 삼성동 111-44 강남구청역,6311-7300,127.0471947,37.5181947,정좌표
233,233,학동,7,강남구,논현동,서울특별시 강남구 논현동 279-67 학동역,6311-7310,127.0317499,37.51429064,정좌표
234,234,논현,7,강남구,논현동,서울특별시 강남구 논현동 280 논현역,6311-7320,127.0219167,37.51029222,정좌표
235,235,반포,7,서초구,잠원동,서울특별시 서초구 잠원동 103 반포역,6311-7330,127.0117949,37.50828887,정좌표
236,236,고속터미널,7,서초구,반포동,서울특별시 서초구 반포동 19-11 고속터미널역(7호선),6311-7340,127.0048509,37.50483917,정좌표
