지역명,2018년 전체,2018년 1층,2018년 1층 외,2019년,2019년 1층,2019년 1층 외,2020년,2020년 1층,2020년 1층 외
상도3동,137389 ,158251 ,78976 ,113655 ,139816 ,59153 ,131170 ,160314 ,61007 
상도4동,68056 ,75909 ,50209 ,83749 ,92183 ,45193 ,102889 ,116005 ,67476 
흑석동,113260 ,126143 ,99423 ,110730 ,133685 ,74656 ,112995 ,125705 ,89529 
사당1동,100224 ,110956 ,72051 ,104567 ,116876 ,71426 ,96303 ,118927 ,69704 
사당2동,135448 ,173675 ,78108 ,134651 ,164087 ,101011 ,138299 ,182140 ,83166 
사당3동,95092 ,122728 ,70707 ,113599 ,136607 ,76531 ,111647 ,123771 ,95262 
사당4동,103439 ,124297 ,58743 ,95589 ,108270 ,62983 ,140126 ,173389 ,50571 
사당5동,67932 ,77466 ,55798 ,69191 ,77300 ,53874 ,79471 ,92983 ,62957 
대방동,84565 ,115053 ,51029 ,101347 ,119862 ,68760 ,90795 ,118489 ,57059 
신대방1동,138791 ,119218 ,165892 ,92368 ,119670 ,59606 ,107897 ,116389 ,94893 
신대방2동,90402 ,133167 ,51355 ,118830 ,149860 ,60908 ,112140 ,152062 ,79346 
관악구,103686 ,131220 ,61298 ,106014 ,123357 ,76866 ,105102 ,126384 ,74558 
보라매동,69630 ,89968 ,46387 ,94874 ,112021 ,61721 ,92081 ,105493 ,72269 
청림동,82013 ,72435 ,89996 ,145538 ,105290 ,192494 ,58772 ,67787 ,48555 
성현동,83685 ,114935 ,58387 ,71921 ,81406 ,61759 ,98333 ,140839 ,58257 
행운동,90159 ,114162 ,56156 ,95470 ,108261 ,78889 ,96285 ,115252 ,64435 
낙성대동,117800 ,141453 ,84141 ,114566 ,141693 ,63026 ,116479 ,143687 ,80975 
청룡동,131877 ,156687 ,62099 ,123342 ,155787 ,68436 ,108449 ,127346 ,86886 
은천동,102294 ,142731 ,47301 ,106709 ,141263 ,55473 ,108261 ,130651 ,74143 
중앙동,102693 ,144824 ,48524 ,108212 ,126228 ,79902 ,101572 ,113388 ,84832 
인헌동,116194 ,141486 ,62447 ,97181 ,118310 ,50697 ,109764 ,143867 ,50992 
남현동,145689 ,177601 ,101012 ,107109 ,129093 ,88266 ,124118 ,168905 ,89408 
서원동,119062 ,180658 ,70211 ,148824 ,180367 ,120148 ,118852 ,144504 ,100228 
신원동,111195 ,129154 ,52187 ,139763 ,157448 ,51336 ,107209 ,122323 ,57144 
서림동,63979 ,81086 ,50898 ,91206 ,102231 ,52620 ,111413 ,101232 ,130959 
신사동,96395 ,114278 ,58839 ,82423 ,93175 ,44475 ,124310 ,146236 ,74689 
신림동,162634 ,200677 ,97820 ,126087 ,153055 ,95102 ,138827 ,173751 ,89844 
난향동,98321 ,140174 ,61700 ,78504 ,89754 ,59752 ,75180 ,98380 ,68993 
조원동,71881 ,87626 ,46165 ,78140 ,94455 ,52648 ,82890 ,104581 ,51311 
대학동,102175 ,120649 ,57147 ,112888 ,116033 ,107228 ,96690 ,115289 ,61182 
삼성동,67175 ,89588 ,32539 ,64510 ,77208 ,32763 ,68104 ,77113 ,53089 
미성동,73915 ,90372 ,46486 ,93306 ,92399 ,94903 ,92567 ,112009 ,61543 
난곡동,121621 ,145485 ,67382 ,112018 ,150293 ,45037 ,92557 ,107199 ,56270 
서초구,112216 ,135962 ,94939 ,113043 ,136422 ,94125 ,119955 ,139348 ,107097 
서초1동,94295 ,115439 ,74347 ,110415 ,141115 ,83742 ,105191 ,128311 ,87420 
서초2동,137831 ,165685 ,126076 ,143942 ,150677 ,141575 ,156557 ,190224 ,145421 
서초3동,113128 ,116757 ,110861 ,99074 ,122027 ,79181 ,116858 ,143651 ,99286 
서초4동,104309 ,128181 ,95933 ,122433 ,142049 ,113779 ,136779 ,179962 ,117402 
잠원동,104733 ,138496 ,86913 ,106366 ,146440 ,86918 ,119725 ,130121 ,114048 
반포본동,148202 ,180246 ,98678 ,113712 ,131213 ,64711 ,104273 ,116104 ,78037 
반포1동,130280 ,175193 ,97616 ,147977 ,174748 ,122277 ,143525 ,158179 ,131339 
반포2동,229023 ,300585 ,139570 ,,,208604 ,196190 ,284170 ,154788 
